Date,Race
1,10
1,10
9,40
9,10
16,10
27,40
27,10
43,10
43,10
50,10
63,10
64,10
83,10
83,40
83,10
83,10
85,10
99,40
104,10
113,10
118,10
118,40
118,10
121,60
121,10
133,40
133,10
133,10
142,10
146,10
146,10
150,10
153,10
153,10
153,10
161,10
161,10
162,60
167,10
168,10
174,10
198,10
203,10
204,10
212,10
212,60
216,10
217,10
223,40
230,10
234,10
248,40
254,10
259,10
265,10
273,10
282,10
283,10
289,10
289,60
289,10
297,10
297,10
297,10
301,60
311,10
324,10
336,10
350,10
350,10
350,10
385,10
385,10
391,60
394,10
402,10
406,10
412,10
416,10
416,10
420,10
442,10
451,10
451,10
468,10
469,10
471,10
471,60
479,10
479,10
485,10
485,10
492,10
506,10
514,60
514,10
527,10
527,10
527,10
527,10
527,40
527,10
527,10
528,10
548,10
549,10
567,10
567,10
569,10
574,10
584,10
584,10
590,10
590,10
590,10
590,40
590,40
590,10
598,10
598,10
619,10
623,10
623,10
630,40
653,10
654,60
654,10
661,10
666,10
667,10
667,10
667,10
667,10
668,20
668,10
682,40
688,10
688,10
688,10
688,10
688,10
689,10
689,10
696,10
702,10
714,10
716,10
716,10
724,10
737,10
737,10
752,10
758,10
766,10
766,10
766,40
773,10
786,10
794,10
797,10
804,60
811,60
813,10
819,10
821,10
833,10
833,10
833,10
833,10
833,40
835,40
836,10
840,10
843,10
849,40
857,10
867,10
867,10
867,10
867,40
867,10
867,10
867,10
869,10
878,10
878,10
878,10
881,10
892,10
902,10
920,10
920,10
925,10
925,10
933,60
937,10
941,10
941,10
948,10
948,10
954,60
954,10
954,10
958,10
958,10
958,10
961,10
974,10
976,10
976,60
980,10
980,10
980,10
980,40
996,10
996,10
1009,10
1010,10
1011,10
1015,10
1022,10
1028,10
1029,10
1035,60
1053,10
1053,40
1053,60
1057,10
1057,10
1063,10
1063,10
1074,10
1081,10
1085,10
1088,10
1091,10
1091,10
1091,40
1099,10
1102,10
1102,10
1106,10
1106,10
1112,10
1116,10
1116,10
1120,10
1128,10
1130,60
1134,250
1134,10
1141,10
1143,10
1143,40
1147,10
1147,10
1147,10
1150,10
1162,60
1162,10
1162,10
1165,60
1165,10
1176,60
1178,10
1185,10
1199,10
1207,10
1207,10
1207,10
1212,10
1217,10
1218,10
1225,10
1227,10
1227,10
1232,10
1235,10
1246,255
1246,10
1247,10
1249,40
1256,10
1256,10
1260,10
1281,10
1282,10
1291,10
1291,60
1291,10
1295,255
1303,10
1303,10
1303,10
1303,10
1305,60
1309,250
1309,10
1312,10
1316,10
1323,10
1323,10
1326,10
1326,10
1326,10
1329,10
1340,10
1340,10
1344,10
1344,10
1344,10
1347,60
1347,60
1354,10
1354,10
1375,10
1375,10
1379,40
1382,10
1382,10
1389,10
1396,10
1400,10
1407,10
1408,40
1417,10
1421,40
1427,10
1428,10
1431,10
1437,40
1438,40
1438,10
1444,10
1444,40
1449,10
1464,10
1477,10
1484,10
1485,40
1487,10
1505,10
1505,10
1514,10
1522,10
1525,10
1525,40
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,255
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,255
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,60
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,40
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,40
1525,10
1525,40
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,40
1525,10
1525,10
1525,60
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,10
1525,60
1525,40
1525,10
1525,60
1525,10
1525,10
1525,10
1525,10
1525,40
1525,10
1525,10
1525,10
1525,60
1541,10
1541,60
1547,10
1571,10
1574,10
1577,10
1603,40
1606,10
1611,60
1626,10
1627,10
1627,10
1627,60
1627,10
1627,10
1627,10
1627,10
1627,40
1627,10
1627,10
1627,10
1631,10
1632,10
1633,10
1634,60
1645,10
1646,10
1652,10
1655,10
1661,10
1669,10
1669,10
1669,10
1676,10
1679,40
1683,60
1690,40
1690,10
1696,10
1702,10
1708,10
1708,10
1715,60
1724,10
1743,10
1753,10
1788,10
1802,10
1805,10
1809,10
1811,10
1816,10
1969,10
2005,10
2005,10
2005,10
2005,40
2005,10
2005,10
2005,10
2005,10
2005,10
2005,10
2005,10
2005,10
2005,10
2033,40
2033,10
2061,10
2131,10
2205,10
2277,40
