Date,Race
30,10
40,10
46,60
51,10
53,60
58,10
58,10
58,10
62,10
65,10
68,10
73,10
76,10
76,10
86,10
86,60
93,10
97,60
100,60
103,10
110,60
130,10
135,10
143,10
152,10
166,60
180,60
181,10
192,10
195,10
201,10
228,60
229,50
229,10
236,10
240,10
244,10
257,50
261,10
272,50
275,10
279,10
286,60
298,60
310,10
313,10
314,10
327,10
327,60
359,10
359,10
362,10
367,10
383,40
387,10
390,10
397,10
401,10
405,10
425,10
426,10
431,10
438,60
466,10
467,10
467,60
471,10
492,10
495,60
496,60
507,10
510,60
516,60
517,60
523,10
524,10
536,10
548,10
555,10
559,60
565,10
569,10
573,60
586,10
592,60
593,10
594,10
594,10
607,60
622,60
642,10
643,60
643,60
660,60
670,10
681,60
681,10
681,10
684,10
695,10
716,10
719,10
719,10
727,10
744,10
748,10
760,10
775,10
796,60
844,10
866,10
871,10
880,60
894,60
909,60
915,60
928,60
979,60
1013,10
1014,60
1041,10
1060,10
1073,10
1115,10
1116,10
1130,10
1130,60
1157,60
1172,10
1179,10
1199,10
1228,60
1228,60
1241,10
1258,60
1262,60
1265,10
1360,60
1364,10
1371,10
1371,60
1385,10
1411,60
1412,10
1412,60
1433,10
1481,10
1482,10
1509,10
1566,10
1636,40
1637,60
1650,10
1719,60
1732,60
1790,60
1850,10
1857,10
1878,10
1906,10
1907,10
2039,10
2043,10
2048,10
2210,10
2224,10
2272,60
2344,60
2623,10
2693,10
2854,10
2909,60
2911,10
