Date,Arrivals_40,Departures_40,Census_40,Arrivals_10,Departures_10,Census_10,Arrivals_50,Departures_50,Census_50,Arrivals_60,Departures_60,Census_60,Arrivals_30,Departures_30,Census_30,OtherCensus,Day
2014-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,1
2014-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
2014-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
2014-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4
2014-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5
2014-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6
2014-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7
2014-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8
2015-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,1.5714285714285714,0.0,0.0,0.0,0.0,9
2015-01-11,0.0,0.0,0.0,0.42857142857142855,0.0,2.142857142857143,0.0,0.0,0.0,0.2857142857142857,0.0,3.4285714285714284,0.0,0.0,0.0,0.0,10
2015-01-18,0.0,0.0,0.0,0.2857142857142857,0.0,4.428571428571429,0.0,0.0,0.0,0.2857142857142857,0.0,5.428571428571429,0.0,0.0,0.0,0.0,11
2015-01-25,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.14285714285714285,0.0,6.857142857142857,0.0,0.0,0.0,0.0,12
2015-02-01,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.14285714285714285,0.0,7.571428571428571,0.0,0.0,0.0,0.0,13
2015-02-08,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,14
2015-02-15,0.0,0.0,0.0,0.2857142857142857,0.0,6.428571428571429,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,15
2015-02-22,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,16
2015-03-01,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.14285714285714285,0.0,8.714285714285714,0.0,0.0,0.0,0.0,17
2015-03-08,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,18
2015-03-15,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,19
2015-03-22,0.0,0.0,0.0,0.14285714285714285,0.0,7.428571428571429,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,20
2015-03-29,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,21
2015-04-05,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,22
2015-04-12,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.0,0.0,0.0,0.0,0.0,23
2015-04-19,0.14285714285714285,0.0,0.5714285714285714,0.0,0.0,8.0,0.0,0.0,0.0,0.14285714285714285,0.0,10.571428571428571,0.0,0.0,0.0,0.0,24
2015-04-26,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.2857142857142857,0.0,12.285714285714286,0.0,0.0,0.0,0.0,25
2015-05-03,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.2857142857142857,0.0,14.142857142857142,0.0,0.0,0.0,0.0,26
2015-05-10,0.0,0.0,1.0,0.2857142857142857,0.0,9.142857142857142,0.0,0.0,0.0,0.2857142857142857,0.0,16.428571428571427,0.0,0.0,0.0,0.0,27
