Date,Race
4,60
62,60
68,10
68,10
68,60
68,60
68,10
75,60
75,10
75,60
75,10
81,60
90,60
103,10
103,10
117,60
140,10
157,60
167,60
167,40
173,60
174,60
181,60
181,60
186,60
187,10
188,60
189,10
193,60
194,10
194,10
195,60
195,10
195,60
195,60
219,60
230,60
243,60
250,10
264,60
300,60
307,60
335,60
336,10
339,10
368,60
370,10
370,60
370,60
370,60
371,10
396,60
398,60
403,40
403,60
404,60
412,60
417,60
433,60
433,10
433,60
433,60
439,10
440,60
440,60
447,60
454,10
461,60
495,10
495,10
496,40
496,60
496,10
496,60
503,60
518,60
524,60
524,60
524,60
524,10
524,60
524,60
531,60
543,60
552,60
559,60
559,60
622,60
622,60
636,60
636,60
650,60
671,10
671,60
706,60
713,60
752,60
767,10
781,60
781,60
790,10
804,60
804,60
804,60
811,60
831,60
831,10
833,60
839,60
854,60
867,10
872,60
873,10
879,10
899,60
902,10
902,60
907,40
914,10
923,40
928,60
929,60
934,10
935,60
935,60
938,60
938,10
943,60
949,10
962,60
964,60
971,60
976,60
976,60
976,60
993,40
999,40
1006,10
1006,60
1014,40
1021,10
1029,60
1033,60
1040,10
1048,60
1052,40
1055,60
1055,60
1057,60
1068,60
1069,60
1076,10
1085,60
1117,60
1117,60
1125,60
1130,60
1140,60
1145,60
1146,60
1160,10
1161,60
1162,10
1167,60
1204,60
1204,60
1215,60
1215,10
1217,40
1218,60
1218,60
1225,60
1238,60
1243,60
1244,60
1250,60
1251,60
1270,60
1273,40
1277,60
1280,60
1281,60
1281,60
1293,60
1300,60
1302,10
1302,40
1306,60
1307,60
1312,10
1312,60
1313,60
1313,40
1316,60
1319,60
1323,10
1328,60
1328,50
1329,60
1334,10
1334,60
1339,60
1355,10
1371,10
1376,60
1376,10
1400,10
1417,10
1421,10
1425,60
1425,40
1428,60
1439,60
1453,60
1455,10
1459,60
1467,60
1467,60
1476,60
1476,60
1477,60
1480,10
1495,10
1496,10
1501,10
1540,50
1545,10
1552,60
1558,60
1573,60
1575,10
1585,10
1602,60
1603,60
1603,60
1609,60
1623,60
1628,10
1637,30
1648,40
1649,10
1655,60
1656,60
1663,60
1670,60
1677,60
1683,60
1692,60
1708,60
1721,60
1721,10
1764,10
1770,60
1797,60
1830,60
1839,60
1847,60
1848,60
1865,40
1866,60
1879,10
1889,60
1893,40
1904,60
1904,60
1916,60
1938,10
2014,60
2071,60
2075,60
2078,60
2099,10
2127,60
2134,40
2148,60
2190,60
2258,10
2267,60
2334,60
2362,10
2412,10
2432,10
2453,40
2555,60
2565,10
